[15:03:01] Start!!
[15:03:05] 0.9649985 mAp
[15:03:05] 0.9650141 mAp
[15:03:05] 0.9650019 mAp
[15:03:05] 0.9649898 mAp
[15:03:05] 0.9649629 mAp
[15:03:05] 0.96499 mAp
[15:03:05] 0.9649448 mAp
[15:03:05] 0.9649144 mAp
[15:03:05] 0.9648679 mAp
[15:03:05] 0.964829 mAp
[15:03:05] 0.9648654 mAp
[15:03:05] 0.9649566 mAp
[15:03:05] 0.9650686 mAp
[15:03:05] 0.96518 mAp
[15:03:05] 0.9652318 mAp
[15:03:05] 0.965213 mAp
[15:03:05] 0.9651768 mAp
[15:03:05] 0.9651444 mAp
[15:03:05] 0.9651453 mAp
[15:03:05] 0.9651187 mAp
[15:03:05] 0.9651085 mAp
[15:03:05] 0.9650822 mAp
[15:03:05] 0.9650722 mAp
[15:03:05] 0.9651259 mAp
[15:03:05] 0.9651401 mAp
[15:03:05] 0.9651296 mAp
[15:03:05] 0.9651192 mAp
[15:03:05] 0.9650939 mAp
[15:03:05] 0.9651256 mAp
[15:03:05] 0.9650835 mAp
[15:03:05] 0.9650599 mAp
[15:03:05] 0.9650163 mAp
[15:03:05] 0.9649817 mAp
[15:03:05] 0.9650176 mAp
[15:03:05] 0.9650632 mAp
[15:03:05] 0.9651021 mAp
[15:03:05] 0.9651406 mAp
[15:03:05] 0.9652473 mAp
[15:03:05] 0.9653534 mAp
[15:03:05] 0.9654588 mAp
[15:03:05] 0.9654972 mAp
[15:03:05] 0.9654786 mAp
[15:03:05] 0.9654447 mAp
[15:03:05] 0.965416 mAp
[15:03:05] 0.965418 mAp
[15:03:05] 0.9653943 mAp
[15:03:05] 0.9653981 mAp
[15:03:05] 0.9653745 mAp
[15:03:05] 0.9653783 mAp
[15:03:05] 0.9654229 mAp
[15:03:05] 0.9654368 mAp
[15:03:05] 0.9654285 mAp
[15:03:05] 0.9654202 mAp
[15:03:05] 0.9653968 mAp
[15:03:05] 0.965434 mAp
[15:03:05] 0.9653943 mAp
[15:03:05] 0.9653751 mAp
[15:03:05] 0.9653341 mAp
[15:03:05] 0.965303 mAp
[15:03:05] 0.9653376 mAp
[15:03:05] 0.9653778 mAp
[15:03:05] 0.9654092 mAp
[15:03:05] 0.9654403 mAp
[15:03:05] 0.965533 mAp
[15:03:05] 0.965625 mAp
[15:03:05] 0.9657167 mAp
[15:03:05] 0.9657499 mAp
[15:03:05] 0.9657317 mAp
[15:03:05] 0.9656996 mAp
[15:03:05] 0.9656724 mAp
[15:03:05] 0.9656733 mAp
[15:03:05] 0.9656506 mAp
[15:03:05] 0.9656538 mAp
[15:03:05] 0.9656313 mAp
[15:03:05] 0.9656346 mAp
[15:03:05] 0.9656745 mAp
[15:03:05] 0.9656867 mAp
[15:03:05] 0.9656785 mAp
[15:03:05] 0.9656704 mAp
[15:03:05] 0.9656481 mAp
[15:03:05] 0.9656829 mAp
[15:03:05] 0.9656454 mAp
[15:03:05] 0.9656273 mAp
[15:03:05] 0.9655885 mAp
[15:03:05] 0.9655592 mAp
[15:03:05] 0.9655884 mAp
[15:03:05] 0.9656187 mAp
[15:03:05] 0.9656408 mAp
[15:03:05] 0.9656628 mAp
[15:03:05] 0.9657403 mAp
[15:03:05] 0.9658175 mAp
[15:03:05] 0.9658942 mAp
[15:03:05] 0.9659221 mAp
[15:03:05] 0.9659044 mAp
[15:03:05] 0.965874 mAp
[15:03:05] 0.965848 mAp
[15:03:05] 0.9658491 mAp
[15:03:05] 0.9658279 mAp
[15:03:05] 0.9658306 mAp
[15:03:05] 0.9658096 mAp
[15:03:05] 0.9658123 mAp
[15:03:05] 0.965847 mAp
[15:03:05] 0.9658573 mAp
[15:03:05] 0.965849 mAp
[15:03:05] 0.9658409 mAp
[15:03:05] 0.9658196 mAp
[15:03:05] 0.9658509 mAp
[15:03:05] 0.9658154 mAp
[15:03:05] 0.9657983 mAp
[15:03:05] 0.9657615 mAp
[15:03:05] 0.9657339 mAp
[15:03:05] 0.9657412 mAp
[15:03:05] 0.9657576 mAp
[15:03:05] 0.9657736 mAp
[15:03:05] 0.965845 mAp
[15:03:05] 0.9658607 mAp
[15:03:05] 0.9659103 mAp
[15:03:05] 0.9659472 mAp
[15:03:05] 0.9659839 mAp
[15:03:05] 0.9660205 mAp
[15:03:05] 0.9660301 mAp
[15:03:05] 0.96611 mAp
[15:03:05] 0.9661895 mAp
[15:03:05] 0.9661686 mAp
[15:03:05] 0.9661366 mAp
[15:03:05] 0.9661064 mAp
[15:03:05] 0.9661267 mAp
[15:03:05] 0.9661008 mAp
[15:03:05] 0.9661074 mAp
[15:03:05] 0.9660817 mAp
[15:03:05] 0.9660882 mAp
[15:03:05] 0.9660973 mAp
[15:03:05] 0.9660942 mAp
[15:03:05] 0.9660799 mAp
[15:03:05] 0.9660657 mAp
[15:03:05] 0.9660422 mAp
[15:03:05] 0.966052 mAp
[15:03:05] 0.9660174 mAp
[15:03:05] 0.9659963 mAp
[15:03:05] 0.9659612 mAp
[15:03:05] 0.9659328 mAp
[15:03:05] 0.9659348 mAp
[15:03:05] 0.9659421 mAp
[15:03:05] 0.9659499 mAp
[15:03:05] 0.9659925 mAp
[15:03:05] 0.9660001 mAp
[15:03:05] 0.9660368 mAp
[15:03:05] 0.9660636 mAp
[15:03:05] 0.9660903 mAp
[15:03:05] 0.9661168 mAp
[15:03:05] 0.9661221 mAp
[15:03:05] 0.9661798 mAp
[15:03:05] 0.9662372 mAp
[15:03:05] 0.966217 mAp
[15:03:05] 0.9661869 mAp
[15:03:05] 0.9661596 mAp
[15:03:05] 0.9662121 mAp
[15:03:05] 0.9661902 mAp
[15:03:05] 0.9662042 mAp
[15:03:05] 0.9661824 mAp
[15:03:05] 0.9661965 mAp
[15:03:05] 0.966201 mAp
[15:03:05] 0.9661958 mAp
[15:03:05] 0.9661812 mAp
[15:03:05] 0.9661667 mAp
[15:03:05] 0.966144 mAp
[15:03:05] 0.96615 mAp
[15:03:05] 0.9661174 mAp
[15:03:05] 0.9660971 mAp
[15:03:05] 0.966064 mAp
[15:03:05] 0.9660371 mAp
[15:03:05] 0.9660374 mAp
[15:03:05] 0.9660457 mAp
[15:03:05] 0.9660561 mAp
[15:03:05] 0.9661028 mAp
[15:03:05] 0.9661131 mAp
[15:03:05] 0.9661461 mAp
[15:03:05] 0.96617 mAp
[15:03:05] 0.9661938 mAp
[15:03:05] 0.9662175 mAp
[15:03:05] 0.9662217 mAp
[15:03:05] 0.9662737 mAp
[15:03:05] 0.9663253 mAp
[15:03:05] 0.9663061 mAp
[15:03:05] 0.9662781 mAp
[15:03:05] 0.9662543 mAp
[15:03:05] 0.9662364 mAp
[15:03:05] 0.9662673 mAp
[15:03:05] 0.9662495 mAp
[15:03:05] 0.9662803 mAp
[15:03:05] 0.9662842 mAp
[15:03:05] 0.9662789 mAp
[15:03:05] 0.9662651 mAp
[15:03:05] 0.9662514 mAp
[15:03:05] 0.9662299 mAp
[15:03:05] 0.9662356 mAp
[15:03:05] 0.9662048 mAp
[15:03:05] 0.9661858 mAp
[15:03:05] 0.9661546 mAp
[15:03:05] 0.9661291 mAp
[15:03:05] 0.9661313 mAp
[15:03:05] 0.9661359 mAp
[15:03:05] 0.96614 mAp
[15:03:05] 0.9661693 mAp
[15:03:05] 0.9661733 mAp
[15:03:05] 0.9662048 mAp
[15:03:05] 0.9662278 mAp
[15:03:05] 0.9662508 mAp
[15:03:05] 0.9662736 mAp
[15:03:05] 0.9662782 mAp
[15:03:05] 0.9663274 mAp
[15:03:05] 0.9663764 mAp
[15:03:05] 0.9663588 mAp
[15:03:05] 0.9663333 mAp
